timestamp,Open,High,Low,Close,Volume
2022-05-24,316.8,330.45,311.4,328.3,126730.35
2022-05-25,328.3,337.8,323.45,325.5,121996.14
2022-05-26,325.5,331.75,294.95,302.75,202294.78
2022-05-27,302.75,309.55,290.1,300.95,157427.89
2022-05-28,300.95,311.45,296.6,307.3,74459.47
2022-05-29,307.3,307.95,298.25,305.75,61952.59
2022-05-30,305.75,324.15,303.7,322.0,111653.56
2022-05-31,322.0,324.75,313.05,320.7,72369.09
2022-06-01,320.7,324.6,297.25,300.0,111474.2
2022-06-02,300.0,309.25,297.85,308.3,58951.75
2022-06-03,308.3,310.0,293.05,298.45,68695.42
2022-06-04,298.45,302.8,294.35,301.3,39182.41
2022-06-05,301.3,302.3,294.5,298.75,53587.5
2022-06-06,298.75,312.25,286.8,294.65,169335.09
2022-06-07,294.65,296.0,273.2,290.1,278317.93
2022-06-08,290.1,294.4,283.7,288.25,107948.94
2022-06-09,288.25,293.25,286.0,289.45,63757.8
2022-06-10,289.45,299.45,282.9,286.1,208184.35
2022-06-11,286.1,290.45,264.8,269.55,192573.63
2022-06-12,269.55,271.95,250.65,254.5,214710.19
2022-06-13,254.5,257.7,213.05,222.95,518323.32
2022-06-14,222.95,231.3,203.8,223.1,356678.16
2022-06-15,223.1,234.55,198.25,233.55,465634.11
2022-06-16,233.55,237.3,207.5,210.05,184198.93
2022-06-17,210.05,222.25,207.65,215.55,140653.24
2022-06-18,215.55,219.0,182.75,196.8,446959.35
2022-06-19,196.8,216.85,189.55,215.05,338590.79
2022-06-20,215.05,219.5,204.45,216.4,232179.85
2022-06-21,216.4,228.2,212.85,219.6,171651.2
2022-06-22,219.6,220.85,211.1,213.9,164960.15
2022-06-23,213.9,241.9,213.85,228.65,360642.99
2022-06-24,228.65,243.55,228.3,239.95,143936.79
2022-06-25,239.95,241.95,229.3,239.55,118107.57
2022-06-26,239.55,245.55,233.0,233.8,91199.04
2022-06-27,233.8,240.9,229.85,233.35,86012.42
2022-06-28,233.35,242.65,225.65,226.8,119631.78
2022-06-29,226.8,229.65,215.25,219.4,102913.7
2022-06-30,219.4,220.1,205.55,219.55,127948.98
2022-07-01,219.55,226.6,213.25,216.6,150753.78
